SWIFT CODE;ADDRESS;NAME;COUNTRY ISO2 CODE;COUNTRY NAME;IS HEADQUARTER
AAISALTRXXX;HYRJA 3 RR. DRITAN HOXHA ND. 11 TIRANA, TIRANA, 1023;UNITED BANK OF ALBANIA SH.A;AL;ALBANIA;1
ABIEBGS1XXX;TSAR ASEN 20  VARNA, VARNA, 9002;ABV INVESTMENTS LTD;BG;BULGARIA;1
ADCRBGS1XXX;JAMES BOURCHIER BLVD 76A HILL TOWER SOFIA, SOFIA, 1421;ADAMANT CAPITAL PARTNERS AD;BG;BULGARIA;1
AFAAUYM1XXX;PLAZA INDEPENDENCIA 743  MONTEVIDEO, MONTEVIDEO, 11000;AFINIDAD A.F.A.P.S.A.;UY;URUGUAY;1
AGRIMCM1XXX;23 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000;CREDIT AGRICOLE MONACO (CRCA PROVENCE COTE D'AZUR MONACO);MC;MONACO;1
AIPOPLP1XXX;STRZEGOMSKA 42C  WROCLAW, DOLNOSLASKIE, 53-611;SANTANDER CONSUMER BANK SPOLKA AKCYJNA;PL;POLAND;1
AIZKLV22XXX;MIHAILA TALA STREET 1  RIGA, RIGA, LV-1045;ABLV BANK, AS IN LIQUIDATION;LV;LATVIA;1
AKBKMTMTXXX;FLOOR 6, PORTOMASO BUSINESS TOWER 01 PORTOMASO PTM - ST. JULIAN'S ST. JULIAN'S, STJ 4011;AKBANK T.A.S. (MALTA BRANCH);MT;MALTA;1
ALBPPLP1BMW;  WARSZAWA, MAZOWIECKIE;ALIOR BANK SPOLKA AKCYJNA;PL;POLAND;0
ALBPPLPWXXX;LOPUSZANSKA BUSINESS PARK LOPUSZANSKA 38 D WARSZAWA, MAZOWIECKIE, 02-232;ALIOR BANK SPOLKA AKCYJNA;PL;POLAND;1
ANIBAWA1XXX;WILHELMINASTRAAT 36  - ORANJESTAD ORANJESTAD-WEST AND ORANJESTAD-EAST ;AIB BANK NV;AW;ARUBA;1
ANTLUYM1XXX;GUATEMALA 1075  MONTEVIDEO, MONTEVIDEO, 11800;ANTEL;UY;URUGUAY;1
APSBMTMTXXX;APS CENTRE TOWER STREET BIRKIRKARA, BIRKIRKARA, BKR 4012;APS BANK PLC.;MT;MALTA;1
ARUBAWAXXXX;CAMACURI 12  - ORANJESTAD ORANJESTAD-WEST AND ORANJESTAD-EAST ;ARUBA BANK, LTD;AW;ARUBA;1
ATISMTM1XXX;ABATE RIGORD STREET  TA'XBIEX, TA'XBIEX, XBX 1120;JESMOND MIZZI FINANCIAL ADVISORS LIMITED;MT;MALTA;1
AVJCBGS1XXX;TODOR ALEKSANDROV BLVD 73 FLOOR 1 SOFIA, SOFIA, 1303;AVAL IN JSC;BG;BULGARIA;1
BAERMCMCXXX;12 BOULEVARD DES MOULINS  MONACO, MONACO, 98000;BANK JULIUS BAER (MONACO) S.A.M.;MC;MONACO;1
BAPDBGS1XXX;SQ. POZITANO 9  SOFIA, SOFIA, 1000;BALKAN ADVISORY COMPANY-IP EAD;BG;BULGARIA;1
BARCMCC1XXX;31 AVENUE DE LA COSTA  MONACO, MONACO, 98000;BARCLAYS BANK S.A;MC;MONACO;1
BARCMCMXXXX;31 AVENUE DE LA COSTA  MONACO, MONACO, 98000;BARCLAYS BANK PLC MONACO;MC;MONACO;1
BBVAUYMMXXX;25 DE MAYO, ESQUINA ZAQBALA 401  MONTEVIDEO, MONTEVIDEO, 11000;BANCO BILBAO VIZCAYA ARGENTARIA URUGUAY S.A.;UY;URUGUAY;1
BCCSCLR1XXX;  ;BCI CORREDOR DE BOLSA S.A.;CL;CHILE;1
BCECCLRFXXX;  ;BANCO CENTRAL DE CHILE;CL;CHILE;1
BCECCLRMXXX;  ;BANCO CENTRAL DE CHILE;CL;CHILE;1
BCGMMCM1XXX;27 BOULEVARD PRINCESSE CHARLOTTE  MONACO, MONACO, 98000;BNP PARIBAS WEALTH MANAGEMENT MONACO;MC;MONACO;1
BCHICLR10R2;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10R3;21 DE MAYO 330  ARICA, PROVINCIA DE ARICA, 1000000;BANCO DE CHILE;CL;CHILE;0
BCHICLR10R4;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10R5;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10R6;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10R7;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10R8;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10RA;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10RC;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10RV;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLR10RY;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLRMEXP;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLRMIMP;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLRMIOB;  ;BANCO DE CHILE;CL;CHILE;0
BCHICLRMXXX;  ;BANCO DE CHILE;CL;CHILE;1
BCOSCLR1XXX;AGUSTINAS 975, FLOOR 2 CASA MATRIZ BANCO DE CHILE - SANTIAGO PROVINCIA DE SANTIAGO, 8320000;BANCHILE CORREDORES DE BOLSA S.A.;CL;CHILE;1
BCRCBGS1XXX;EVLOGI GEORGIEV 95 FLOOR 1 SOFIA, SOFIA, 1142;BCRA - CREDIT RATING AGENCY;BG;BULGARIA;1
BECHCLRMXXX;  ;BANCO DEL ESTADO DE CHILE;CL;CHILE;1
BEDMPLP1XXX;STOJALOWSKIEGO 7  BIELSKO BIALA, SLASKIE, 43-300;DOM MAKLERSKI BDM S.A.;PL;POLAND;1
BELDPLP1XXX;UL.NOCZNICKIEGO 3  BELSK DUZY, MAZOWIECKIE, 05-622;BANK SPOLDZIELCZY W BELSKU DUZYM;PL;POLAND;1
BERLMCMCXXX;LES TERRASSES, CARLO 2 AVENUE DE MONTE MONACO, MONACO, 98000;EDMOND DE ROTHSCHILD-MONACO;MC;MONACO;1
BGUSBGSFXXX;SLAVYANSKA STR 2  SOFIA, SOFIA, 1000;BULGARIAN-AMERICAN CREDIT BANK;BG;BULGARIA;1
BHUMUYM1XXX;FERNANDEZ CRESPO 1508  MONTEVIDEO, MONTEVIDEO, 11200;BANCO HIPOTECARIO DEL URUGUAY;UY;URUGUAY;1
BICECLRMXXX;  ;BANCO BICE;CL;CHILE;1
BICHCLRMXXX;  ;BANCO INTERNACIONAL;CL;CHILE;1
BIEZPLP1XXX;ZAMOJSKIEGO 27  BIEZUN, MAZOWIECKIE, 09-320;BANK SPOLDZIELCZY W BIEZUNIU;PL;POLAND;1
